Text,Link
[11],#cite_note-FOOTNOTECheneyUthGlenn1999143-12
[12],"#cite_note-FOOTNOTEO'Neill20079,_12-13"
[13],#cite_note-FOOTNOTECarlson201314-14
Eastern Orthodox Church,/wiki/Eastern_Orthodox_Church
[14],"#cite_note-FOOTNOTEDommermuth-Costa199412""Milutin,_Nikola's_father,_was_a_well-educated_priest_of_the_Serbian_Orthodox_Church.""-15"
[15],"#cite_note-FOOTNOTECheney201125""The_tiny_house_in_which_he_was_born_stood_next_to_the_Serbian_Orthodox_Church_presided_over_by_his_father,_the_Reverend_Milutin_Tesla,_who_sometimes_wrote_articles_under_the_nom-de-plume_'Man_of_Justice'""-16"
[16],"#cite_note-FOOTNOTECarlson201314""Following_a_reprimand_at_school_for_not_keeping_his_brass_buttons_polished,_he_quit_and_instead_chose_to_become_a_priest_in_the_Serbian_Orthodox_Church""-17"
[17],"#cite_note-FOOTNOTEBurgan200917""Nikola's_father,_Milutin_was_a_Serbian_Orthodox_priest_and_had_been_sent_to_Smiljan_by_his_church.""-18"
[18],#cite_note-FOOTNOTEO'Neill194410-19
Serbian epic poems,/wiki/Serbian_epic_poetry
eidetic memory,/wiki/Eidetic_memory
[19],#cite_note-FOOTNOTECheney2001-20
[20],#cite_note-FOOTNOTESeifer20017-21
Serbia,/wiki/Serbia
[21],#cite_note-FOOTNOTEO'Neill194412-22
[22],#cite_note-FOOTNOTECarlson201321-23
Gospić,/wiki/Gospi%C4%87
Karlovac,/wiki/Karlovac
[23],#cite_note-tesla1-24
better source needed,/wiki/Wikipedia:NOTRS
Higher Real Gymnasium,/wiki/Gymnasium_Karlovac
[24],#cite_note-25
[25],#cite_note-26
Orthodox,/wiki/Eastern_Orthodox_Church
[26],#cite_note-27
[27],#cite_note-FOOTNOTECarlson201332-28
integral calculus,/wiki/Integral
[28],#cite_note-29
[29],#cite_note-FOOTNOTEO'Neill194433-30
cholera,/wiki/Cholera
[30],#cite_note-31
conscription,/wiki/Conscription
Austro-Hungarian Army,/wiki/Austro-Hungarian_Army
[31],#cite_note-FOOTNOTESeifer2001-32
Tomingaj,/wiki/Tomingaj
Gračac,/wiki/Gra%C4%8Dac
Mark Twain,/wiki/Mark_Twain
Imperial-Royal Technical College in Graz,/wiki/Graz_University_of_Technology
[32],#cite_note-FOOTNOTEO'Neill1944?-33
Jakob Pöschl,/wiki/Jakob_P%C3%B6schl
[33],#cite_note-FOOTNOTECarlson201335-34
Graz,/wiki/Graz
Mur,/wiki/Mur_(river)
[34],#cite_note-FOOTNOTESeifer200118-35
Maribor,/wiki/Maribor
[35],#cite_note-FOOTNOTECarlson201347-36
[36],#cite_note-37
Prague,/wiki/Prague
Charles-Ferdinand University,/wiki/Charles_University
Greek,/wiki/Greek_language
Czech,/wiki/Czech_(language)
[37],#cite_note-38
[38],#cite_note-39
Budapest,/wiki/Budapest
Hungary,/wiki/Lands_of_the_Crown_of_Saint_Stephen
Tivadar Puskás,/wiki/Tivadar_Pusk%C3%A1s
telegraph,/wiki/Telegraphy
repeater,/wiki/Repeater
amplifier,/wiki/Amplifier
Paris,/wiki/Paris
[39],#cite_note-40
utility,/wiki/Utility
Ivry-sur-Seine,/wiki/Ivry-sur-Seine
dynamos,/wiki/Dynamo
[40],#cite_note-FOOTNOTECarlson201363–64-41
tenements,/wiki/Tenement
[41],#cite_note-FOOTNOTECarlson201370-42
Charles Batchelor,/wiki/Charles_Batchelor
[42],#cite_note-FOOTNOTECarlson201369-43
[43],#cite_note-FOOTNOTEO'Neill194457–60-44
Manhattan,/wiki/Manhattan
Lower East Side,/wiki/Lower_East_Side
[44],#cite_note-edison.rutgers.edu_tesla-45
[45],#cite_note-46
Thomas Edison,/wiki/Thomas_Edison
autobiography,/wiki/Autobiography
SSOregon,/wiki/SS_Oregon_(1883)
arc lamp,/wiki/Arc_lamp
[46],#cite_note-FOOTNOTECarlson201371–73-47
[47],#cite_note-Notebook-48
[48],#cite_note-FOOTNOTECarlson201372–73-49
[49],"#cite_note-FOOTNOTESeifer199625,_34-50"
[50],#cite_note-FOOTNOTECarlson201369–73-51
[51],#cite_note-Autobiography-1919-52
[52],#cite_note-FOOTNOTEO'Neill194464-53
[53],#cite_note-54
[54],#cite_note-55
[55],#cite_note-FOOTNOTEJonnes2004109–110-56
[56],#cite_note-FOOTNOTESeifer199638-57
[57],#cite_note-FOOTNOTECarlson201373-58
[58],#cite_note-FOOTNOTEJonnes2004110–111-59
Tesla Electric Light and Manufacturing Company,/wiki/Tesla_Electric_Light_%26_Manufacturing
[59],#cite_note-FOOTNOTESeifer199841-60
"Rahway, New Jersey","/wiki/Rahway,_New_Jersey"
[60],#cite_note-FOOTNOTEJonnes2004111-61
[61],#cite_note-FOOTNOTECarlson201375-62
[62],#cite_note-63
"U.S. Patent 381,968",https://patents.google.com/patent/US381968
Western Union,/wiki/Western_Union
[63],#cite_note-64
[64],#cite_note-FOOTNOTECarlson201380-65
thermo-magnetic motor,/wiki/Thermo-magnetic_motor
[65],#cite_note-FOOTNOTECarlson201376–78-66
high-voltage,/wiki/High-voltage
rotating magnetic field,/wiki/Rotating_magnetic_field
[66],#cite_note-ReferenceB-67
[67],#cite_note-68
[68],#cite_note-69
commutator,/wiki/Commutator_(electric)
[69],#cite_note-FOOTNOTEJonnes2004161-70
[70],#cite_note-71
[71],#cite_note-FOOTNOTECarlson2013105-106-72
William Arnold Anthony,/wiki/William_Arnold_Anthony
Thomas Commerford Martin,/wiki/Thomas_Commerford_Martin
American Institute of Electrical Engineers,/wiki/American_Institute_of_Electrical_Engineers
[72],#cite_note-73
Westinghouse Electric & Manufacturing Company,/wiki/Westinghouse_Electric_Corporation
George Westinghouse,/wiki/George_Westinghouse
Galileo Ferraris,/wiki/Galileo_Ferraris
[73],#cite_note-FOOTNOTEJonnes2004160–162-74
[74],#cite_note-FOOTNOTECarlson2013108–111-75
electric generator,/wiki/Electric_generator
"U.S. Patent 390,721",https://patents.google.com/patent/US390721
[75],#cite_note-inflation-US-76
Pittsburgh,/wiki/Pittsburgh
[76],#cite_note-FOOTNOTEKlooster2009305-77
traction motor,/wiki/Traction_motor
[77],#cite_note-78
[78],#cite_note-Munson-79
[79],#cite_note-80
[80],#cite_note-81
Thomson-Houston Electric Company,/wiki/Thomson-Houston_Electric_Company
war of currents,/wiki/War_of_currents
direct current,/wiki/Direct_current
[81],#cite_note-82
[82],#cite_note-FOOTNOTESeifer199847-83
[83],#cite_note-gentlegenius-84
Barings Bank,/wiki/Barings_Bank
financial panic of 1890,/wiki/Panic_of_1890
[84],#cite_note-FOOTNOTECarlson2013130-85
[85],#cite_note-FOOTNOTECarlson2013131-86
[86],#cite_note-FOOTNOTEJonnes200429-87
[87],#cite_note-88
[88],#cite_note-FOOTNOTEJonnes2004228-89
[89],#cite_note-FOOTNOTECarlson2013130–131-90
lump sum,/wiki/Lump_sum
General Electric,/wiki/General_Electric
[90],#cite_note-FOOTNOTECheney200148–49-91
[91],#cite_note-92
[92],#cite_note-93
[93],#cite_note-94
Grand Street,/wiki/Grand_Street_(Manhattan)
Fifth Avenue,/wiki/Fifth_Avenue
Houston Street,/wiki/Houston_Street
[94],#cite_note-95
[95],#cite_note-96
1889 Exposition Universelle,/wiki/Exposition_Universelle_(1889)
Heinrich Hertz,/wiki/Heinrich_Hertz
electromagnetic radiation,/wiki/Electromagnetic_radiation
radio waves,/wiki/Radio_wave
[96],#cite_note-FOOTNOTECarlson2013120-97
citation needed,/wiki/Wikipedia:Citation_needed
Ruhmkorff coil,/wiki/Induction_coil
alternator,/wiki/Alternator
arc lighting,/wiki/Arc_lamp
[97],#cite_note-FOOTNOTECarlson2013122-98
voltage,/wiki/Voltage
current,/wiki/Electric_current
frequency,/wiki/Frequency
alternating-current,/wiki/Alternating_current
[98],#cite_note-NMFL-99
resonant transformer circuit,/wiki/Resonant_transformer
[99],#cite_note-FOOTNOTECarlson2013124-100
[100],#cite_note-BurnettOperation-101
naturalized citizen,/wiki/Naturalization
United States,/wiki/United_States
[101],#cite_note-NYcourts-102
[102],#cite_note-FOOTNOTECarlson2013138-103
[103],#cite_note-Uth-104
Columbia College,/wiki/Columbia_College_(New_York)
Geissler tubes,/wiki/Geissler_tube
neon tubes,/wiki/Neon_light
[104],#cite_note-Tesla1891-105
near-field,/wiki/Near_and_far_field
[105],#cite_note-FOOTNOTECarlson2013132-106
[106],#cite_note-107
St. Louis,/wiki/St._Louis
Franklin Institute,/wiki/Franklin_Institute
Philadelphia,/wiki/Philadelphia
National Electric Light Association,/wiki/National_Electric_Light_Association
[107],#cite_note-FOOTNOTECarlson2013178–179-108
[108],#cite_note-Orton-109
IEEE,/wiki/IEEE
Institute of Radio Engineers,/wiki/Institute_of_Radio_Engineers
[109],#cite_note-110
Charles F. Scott,/wiki/Charles_F._Scott_(engineer)
Benjamin G. Lamme,/wiki/Benjamin_G._Lamme
polyphase system,/wiki/Polyphase_system
rotary converter,/wiki/Rotary_converter
[110],#cite_note-FOOTNOTECarlson2013166-111
patent priority,/wiki/Priority_right
[111],#cite_note-FOOTNOTECarlson2013167-112
World's Columbian Exposition,/wiki/World%27s_Columbian_Exposition
[112],#cite_note-113
[113],#cite_note-114
[114],#cite_note-115
Egg of Columbus,/wiki/Tesla%27s_Egg_of_Columbus
[115],#cite_note-116
International Electrical Congress,/wiki/International_Electrical_Congress
[116],#cite_note-FOOTNOTESeifer2001120-117
[117],#cite_note-118
[118],#cite_note-FOOTNOTECheney200176-119
gas-discharge lamps,/wiki/Gas-discharge_lamp
[119],#cite_note-FOOTNOTECheney200179-120
[120],#cite_note-121
steam powered reciprocating electricity generator,/wiki/Tesla%27s_oscillator
[121],#cite_note-FOOTNOTECarlson2013182-122
magnetic field,/wiki/Magnetic_field
induced,/wiki/Electromagnetic_induction
[122],#cite_note-FOOTNOTECarlson2013181–185-123
[123],#cite_note-124
Edward Dean Adams,/wiki/Edward_Dean_Adams
Niagara Falls,/wiki/Niagara_Falls
Cataract Construction Company,/wiki/Cataract_Construction_Company
[124],#cite_note-FOOTNOTECarlson2013167–173-125
[125],#cite_note-FOOTNOTECarlson2013205–206-126
The New York Times,/wiki/The_New_York_Times
[126],#cite_note-127
radiant energy,/wiki/Radiant_energy
[127],#cite_note-128
X-rays,/wiki/X-rays
Crookes tubes,/wiki/Crookes_tube
cold cathode,/wiki/Cold_cathode
Wilhelm Röntgen,/wiki/Wilhelm_R%C3%B6ntgen
Geissler tube,/wiki/Geissler_tube
[128],#cite_note-FOOTNOTECheney2001134-129
radiography,/wiki/Radiography
[129],#cite_note-130
vacuum tube,/wiki/Vacuum_tube
bremsstrahlung,/wiki/Bremsstrahlung
[130],#cite_note-131
ozone,/wiki/Ozone
nitrous acid,/wiki/Nitrous_acid
waves in plasmas,/wiki/Waves_in_plasmas
force-free magnetic fields,/wiki/Force-free_magnetic_field
[131],#cite_note-132
[132],#cite_note-133
New York Herald Tribune,/wiki/New_York_Herald_Tribune
[133],#cite_note-Anderson-134
[134],#cite_note-135
coherer,/wiki/Coherer
radio control,/wiki/Radio_control
Madison Square Garden,/wiki/Madison_Square_Garden_(1890)
[135],#cite_note-FOOTNOTEJonnes2004-136
torpedo,/wiki/Torpedo
[136],#cite_note-137
military programs,/wiki/Glide_bomb
[137],#cite_note-138
Chicago,/wiki/Chicago
Wireless power transfer § Tesla,/wiki/Wireless_power_transfer#Tesla
the transmission of electrical power without wires,/wiki/Wireless_power_transfer
[138],#cite_note-FOOTNOTECarlson2013127-139
[139],#cite_note-earlyradiohistory.us-140
[140],#cite_note-141
[141],#cite_note-142
[142],#cite_note-FOOTNOTECarlson2013209-143
magnifying transmitter,/wiki/Magnifying_transmitter
[143],#cite_note-My_Inventions-144
[144],#cite_note-145
[145],#cite_note-146
[146],#cite_note-FOOTNOTESeifer1996107-147
[147],#cite_note-FOOTNOTECarlson201345-148
Magnifying transmitter,/wiki/Magnifying_transmitter
"Colorado Springs Notes, 1899–1900","/wiki/Colorado_Springs_Notes,_1899%E2%80%931900"
experimental station,/wiki/Tesla_Experimental_Station
[148],#cite_note-FOOTNOTEUth199992-149
[149],#cite_note-150
[150],#cite_note-FOOTNOTECarlson2013264-151
[151],"#cite_note-Wireless_Telegraphy_2002,_p._109-152"
El Paso Power Company,/wiki/El_Paso_Power_Company
John Jacob Astor IV,/wiki/John_Jacob_Astor_IV
[152],#cite_note-FOOTNOTECarlson2013255–259-153
wireless telegraphy,/wiki/Wireless_telegraphy
Pikes Peak,/wiki/Pikes_Peak
[153],#cite_note-FOOTNOTECheney2001173-154
multiple exposure,/wiki/Multiple_exposure
[154],#cite_note-FOOTNOTECarlson2013290–301-155
[155],#cite_note-156
[156],#cite_note-157
[157],#cite_note-FOOTNOTECarlson2013301-158
[158],#cite_note-FOOTNOTECooper2015165-159
[159],#cite_note-160
Red Cross Society,/wiki/Red_Cross_Society
[160],#cite_note-FOOTNOTECarlson2013315-161
[161],#cite_note-FOOTNOTESeifer1998220–223-162
Mars,/wiki/Mars
Venus,/wiki/Venus
Guglielmo Marconi,/wiki/Guglielmo_Marconi
[162],#cite_note-seifer2006-163
The Century Magazine,/wiki/The_Century_Magazine
[163],#cite_note-164
Waldorf-Astoria,/wiki/Waldorf-Astoria_(1893%E2%80%931929)
The Players Club,/wiki/The_Players_(New_York_City)
Delmonico's,/wiki/Delmonico%27s
[164],#cite_note-teslascience.org-165
J. P. Morgan,/wiki/J._P._Morgan
"Shoreham, New York","/wiki/Shoreham,_New_York"
[165],#cite_note-broad1-166
Marconi,/wiki/Guglielmo_Marconi
[166],#cite_note-teslatech.info-167
Newfoundland,/wiki/Newfoundland_and_Labrador#colony
Wall Street,/wiki/Wall_Street
[167],#cite_note-168
Marc J. Seifer,/wiki/Marc_J._Seifer
[168],#cite_note-169
[169],#cite_note-170
Metropolitan Life Tower,/wiki/Metropolitan_Life_Insurance_Company_Tower
Woolworth Building,/wiki/Woolworth_Building
[170],#cite_note-FOOTNOTECarlson2013373–375-171
bladeless turbine,/wiki/Tesla_turbine
Waterside Power Station,/wiki/Waterside_Generating_Station
[171],#cite_note-FOOTNOTECarlson2013371-172
Milwaukee,/wiki/Milwaukee
Allis-Chalmers,/wiki/Allis-Chalmers
[172],#cite_note-FOOTNOTESeifer2001398-173
[173],#cite_note-FOOTNOTECarlson2013373-174
[174],#cite_note-175
speedometers,/wiki/Speedometer
[175],#cite_note-FOOTNOTECheneyUthGlenn1999115-176
World War I,/wiki/World_War_I
Germany,/wiki/Germany
Telefunken,/wiki/Telefunken
[176],#cite_note-FOOTNOTECarlson2013377-177
Jonathan Zenneck,/wiki/Jonathan_Zenneck
Karl Ferdinand Braun,/wiki/Karl_Ferdinand_Braun
[177],#cite_note-FOOTNOTESeifer2001373-178
Marconi Company,/wiki/Marconi_Company
[178],#cite_note-179
[179],#cite_note-180
[180],#cite_note-FOOTNOTECarlson2013377-378-181
Supreme Court of the United States,/wiki/Supreme_Court_of_the_United_States
Oliver Lodge,/wiki/Oliver_Lodge
John Stone,/wiki/John_Stone_Stone
[181],#cite_note-LQsxMxEUC_page_3-182
[182],#cite_note-183
Reuters,/wiki/Reuters
Nobel Prize in Physics,/wiki/Nobel_Prize_in_Physics
William Henry Bragg,/wiki/William_Henry_Bragg
Lawrence Bragg,/wiki/Lawrence_Bragg
[183],#cite_note-FOOTNOTECheney2001245-184
[184],#cite_note-185
[185],#cite_note-186
[186],#cite_note-FOOTNOTESeifer2001378–380-187
Serbia,/wiki/Kingdom_of_Serbia
USA,/wiki/United_States_of_America
[187],#cite_note-pg-188
Montenegro,/wiki/Principality_of_Montenegro
[188],#cite_note-189
AIEE Edison Medal,/wiki/AIEE_Edison_Medal
Institute of Electrical and Electronics Engineers,/wiki/Institute_of_Electrical_and_Electronics_Engineers
[189],#cite_note-EdisonMedal-190
Yugoslavia,"/wiki/Kingdom_of_Serbs,_Croats_and_Slovenes"
[190],#cite_note-eserbia-191
Yugoslavia,/wiki/Kingdom_of_Yugoslavia
Philadelphia City Council,/wiki/Philadelphia_City_Council
Czechoslovakia,/wiki/Czechoslovakia
[191],#cite_note-FOOTNOTECheney2011312-192
University of Paris,/wiki/University_of_Paris
"Paris, France","/wiki/Paris,_France"
"Sofia, Bulgaria","/wiki/Sofia,_Bulgaria"
[192],#cite_note-193
[193],#cite_note-FOOTNOTECarlson2013353-194
[194],#cite_note-Gilliams-195
Electrical Experimenter,/wiki/Electrical_Experimenter
radar,/wiki/Radar
[195],#cite_note-196
[196],#cite_note-197
Émile Girardeau,/wiki/%C3%89mile_Girardeau
[197],#cite_note-FOOTNOTECheney2001266-198
"U.S. Patent 1,655,114",https://patents.google.com/patent/US1655114
biplane,/wiki/Biplane
vertical take-off and landing,/wiki/Vertical_take-off_and_landing
[198],#cite_note-199
[199],#cite_note-FOOTNOTECheney2001251-200
[200],#cite_note-201
[201],#cite_note-202
[202],#cite_note-203
Waldorf Astoria,/wiki/Waldorf-Astoria_(1893%E2%80%931929)
[203],#cite_note-FOOTNOTECheneyUthGlenn1999125-204
St. Regis Hotel,/wiki/St._Regis_New_York
[204],#cite_note-FOOTNOTECarlson2013467-468-205
[205],#cite_note-ONeill359-206
pigeons,/wiki/Columbidae
[206],#cite_note-207
[207],#cite_note-208
[208],#cite_note-209
Hotel Pennsylvania,/wiki/Hotel_Pennsylvania
Hotel Marguery,/wiki/Hotel_Marguery
Hotel New Yorker,/wiki/Wyndham_New_Yorker_Hotel
[209],#cite_note-FOOTNOTEJonnes2004365-210
[210],#cite_note-211
[211],#cite_note-Seifer435-212
[212],#cite_note-FOOTNOTECarlson2013379-213
Timemagazine,/wiki/Time_(magazine)
Kenneth M. Swezey,/wiki/Kenneth_M._Swezey
[213],#cite_note-214
Albert Einstein,/wiki/Albert_Einstein
[214],#cite_note-215
Timemagazine,/wiki/Time_magazine
[215],#cite_note-216
electrical power generation,/wiki/Electricity_generation
[216],#cite_note-FOOTNOTECheney2001151-217
[217],#cite_note-FOOTNOTECarlson2013380–382-218
cosmic rays,/wiki/Cosmic_ray
metallurgy,/wiki/Metallurgy
retina,/wiki/Retina
[218],#cite_note-219
superweapon,/wiki/Superweapon
[219],#cite_note-220
[220],#cite_note-seifer1-221
teleforce,/wiki/Teleforce
death ray,/wiki/Death_ray
[221],#cite_note-222
New York Times,/wiki/New_York_Times
[222],#cite_note-pmnyt1940-223
[223],#cite_note-FOOTNOTECarlson2013382-224
electrostatic,/wiki/Electrostatic
[224],#cite_note-FOOTNOTESeifer1998454-225
US War Department,/wiki/United_States_Department_of_Defense
[225],#cite_note-226
[226],#cite_note-227
induction,/wiki/Inductive_charging
mechanical oscillator,/wiki/Tesla%27s_oscillator
[227],#cite_note-ReferenceA-228
Lower Manhattan,/wiki/Lower_Manhattan
Empire State Building,/wiki/Empire_State_Building
[228],#cite_note-FOOTNOTECarlson2013380-229
telegeodynamics,/wiki/Telegeodynamics
[229],#cite_note-FOOTNOTECarlson2013389-230
coronary thrombosis,/wiki/Coronary_thrombosis
heart attack,/wiki/Heart_attack
Federal Bureau of Investigation,/wiki/Federal_Bureau_of_Investigation
Alien Property Custodian,/wiki/Alien_Property_Custodian
John G. Trump,/wiki/John_G._Trump
M.I.T.,/wiki/MIT
National Defense Research Committee,/wiki/National_Defense_Research_Committee
[230],#cite_note-autogeneratedll-231
multidecade resistance box,/wiki/Decade_Box
[231],#cite_note-232
sphere,/wiki/Sphere
Fiorello La Guardia,/wiki/Fiorello_La_Guardia
Louis Adamic,/wiki/Louis_Adamic
WNYC,/wiki/WNYC
Ave Maria,/wiki/Ave_Maria_(Schubert)
Tamo daleko,/wiki/Tamo_daleko
Cathedral of St. John the Divine,/wiki/Cathedral_of_St._John_the_Divine
Ferncliff Cemetery,/wiki/Ferncliff_Cemetery
Serbian Orthodox Cathedral of Saint Sava,/wiki/Trinity_Chapel_Complex
[232],#cite_note-233
List of Nikola Tesla patents,/wiki/List_of_Nikola_Tesla_patents
[233],#cite_note-sarboh-234
Britain,/wiki/United_Kingdom_of_Great_Britain_and_Ireland
Canada,/wiki/Canada
[234],#cite_note-FOOTNOTECheney200162-235
Arthur Brisbane,/wiki/Arthur_Brisbane
[235],#cite_note-brisbane1-236
[236],#cite_note-FOOTNOTEO'Neill1944292-237
[237],#cite_note-FOOTNOTEO'Neill1944289-238
photographic memory,/wiki/Photographic_memory
[238],#cite_note-FOOTNOTECheney200133-239
polyglot,/wiki/Polyglot_(person)
Serbo-Croatian,/wiki/Serbo-Croatian
Czech,/wiki/Czech_language
Latin,/wiki/Latin
[239],#cite_note-FOOTNOTEO'Neill1944282-240
picture thinking,/wiki/Picture_thinking
autobiography,/wiki/My_Inventions:_The_Autobiography_of_Nikola_Tesla
[240],#cite_note-FOOTNOTECheneyUthGlenn1999Preface-241
[241],#cite_note-242
Robert Underwood Johnson,/wiki/Robert_Underwood_Johnson
Julian Hawthorne,/wiki/Julian_Hawthorne
[242],#cite_note-FOOTNOTECheney200180-243
Francis Marion Crawford,/wiki/Francis_Marion_Crawford
[243],#cite_note-teslasociety1-244
Stanford White,/wiki/Stanford_White
[244],#cite_note-245
[245],#cite_note-246
[246],#cite_note-247
[247],#cite_note-248
[248],#cite_note-249
Sarah Bernhardt,/wiki/Sarah_Bernhardt
Swami Vivekananda,/wiki/Swami_Vivekananda
Vedantic,/wiki/Vedantic
[249],#cite_note-250
[250],#cite_note-251
Vedic philosophy,/wiki/Vedic_philosophy
[251],#cite_note-252
akasha,/wiki/Akasha
prana,/wiki/Prana
[252],#cite_note-253
[253],#cite_note-254
George Sylvester Viereck,/wiki/George_Sylvester_Viereck
Nazi,/wiki/Nazi
[254],#cite_note-255
[255],#cite_note-256
[256],#cite_note-FOOTNOTECheney2001110-257
[257],#cite_note-lifeEdison-258
[258],#cite_note-FOOTNOTEO'Neill194446-259
[259],#cite_note-FOOTNOTESeifer2001413-260
billiards,/wiki/Billiards
chess,/wiki/Chess
card-playing,/wiki/Card_game
[260],"#cite_note-FOOTNOTEO'Neill194443,_301-261"
[261],#cite_note-FOOTNOTEO'Neill1944208-262
[262],"#cite_note-FOOTNOTEO'Neill1944283,_286-263"
[263],#cite_note-264
subatomic particles,/wiki/Subatomic_particle
electron,/wiki/Electron
[264],#cite_note-FOOTNOTEO'Neill1944249-265
[265],#cite_note-266
ether,/wiki/Ether_(classical_element)
[266],#cite_note-267
[267],#cite_note-FOOTNOTEO'Neill1944247-268
theory of relativity,/wiki/Theory_of_relativity
[268],#cite_note-269
[269],#cite_note-270
[270],#cite_note-271
[271],#cite_note-FOOTNOTECheney2001309-272
humanist,/wiki/Humanism
[272],#cite_note-FOOTNOTEJonnes2004154-273
[273],#cite_note-274
selective breeding,/wiki/Selective_breeding
eugenics,/wiki/Eugenics
[274],#cite_note-275
gender equality,/wiki/Gender_equality
Queen Bees,/wiki/Queen_bee_(sociology)
[275],#cite_note-276
[276],#cite_note-277
League of Nations,/wiki/League_of_Nations
Orthodox Christian,/wiki/Eastern_Orthodox_Church
religious fanaticism,/wiki/Religious_fanaticism
[277],#cite_note-Viereck1937-278
[278],#cite_note-279
My Inventions: The Autobiography of Nikola Tesla,/wiki/My_Inventions:_The_Autobiography_of_Nikola_Tesla
The Fantastic Inventions of Nikola Tesla,/wiki/The_Fantastic_Inventions_of_Nikola_Tesla
David Hatcher Childress,/wiki/David_Hatcher_Childress
[279],#cite_note-280
[280],#cite_note-281
[281],#cite_note-282
[282],#cite_note-283
Nikola Tesla in popular culture,/wiki/Nikola_Tesla_in_popular_culture
List of things named after Nikola Tesla,/wiki/List_of_things_named_after_Nikola_Tesla
Charles Proteus Steinmetz,/wiki/Charles_Proteus_Steinmetz
Michael Faraday,/wiki/Michael_Faraday
Atmospheric electricity,/wiki/Atmospheric_electricity
Portals,/wiki/Wikipedia:Contents/Portals
Electronics,/wiki/Portal:Electronics
Energy,/wiki/Portal:Energy
Engineering,/wiki/Portal:Engineering
Physics,/wiki/Portal:Physics
Technology,/wiki/Portal:Technology
United States,/wiki/Portal:United_States
Serbia,/wiki/Portal:Serbia
Biography,/wiki/Portal:Biography
^,#cite_ref-5
[3],#cite_note-3
tesla,https://en.wiktionary.org/wiki/tesla#Serbo-Croatian
adze,/wiki/Adze
[4],#cite_note-4
^,#cite_ref-FOOTNOTEJonnes2004355_1-0
Jonnes 2004,#CITEREFJonnes2004
^,#cite_ref-Webster's_2-0
"""Tesla""",https://www.dictionary.com/browse/tesla
Random House Webster's Unabridged Dictionary,/wiki/Random_House_Webster%27s_Unabridged_Dictionary
^,#cite_ref-3
"""tesla – Hrvatski jezični portal – Znanje""",https://hjp.znanje.hr/index.php?show=search_by_id&id=f19nWRV%2B
^,#cite_ref-4
John Joseph O'Neill,/wiki/John_Joseph_O%27Neill_(journalist)
Prodigal Genius: The Life of Nikola Tesla,/wiki/Prodigal_Genius:_The_Life_of_Nikola_Tesla
^,#cite_ref-FOOTNOTEBurgan20099_6-0
Burgan 2009,#CITEREFBurgan2009
^,#cite_ref-7
"""Electrical pioneer Tesla honoured""",http://news.bbc.co.uk/1/hi/world/europe/5167054.stm
^,#cite_ref-8
Comprehensive Dictionary of Electrical Engineering 1999,https://books.google.com/books?id=soSsLATmZnkC
ISBN,/wiki/ISBN_(identifier)
978-3-540-64835-2,/wiki/Special:BookSources/978-3-540-64835-2
^,#cite_ref-9
978-1-59845-076-7,/wiki/Special:BookSources/978-1-59845-076-7
^,#cite_ref-10
Van Riper 2011,#CITEREFVan_Riper2011
^,#cite_ref-tsbirthplace_11-0
"""Pictures of Tesla's home in Smiljan, Croatia and his father's church after rebuilding""",http://www.teslasociety.com/birthplace.htm
^,#cite_ref-FOOTNOTECheneyUthGlenn1999143_12-0
"Cheney, Uth & Glenn 1999",#CITEREFCheneyUthGlenn1999
^,"#cite_ref-FOOTNOTEO'Neill20079,_12_13-0"
O'Neill 2007,#CITEREFO'Neill2007
help,/wiki/Category:Harv_and_Sfn_template_errors
^,#cite_ref-FOOTNOTECarlson201314_14-0
Carlson 2013,#CITEREFCarlson2013
^,"#cite_ref-FOOTNOTEDommermuth-Costa199412""Milutin,_Nikola's_father,_was_a_well-educated_priest_of_the_Serbian_Orthodox_Church.""_15-0"
Dommermuth-Costa 1994,#CITEREFDommermuth-Costa1994
^,"#cite_ref-FOOTNOTECheney201125""The_tiny_house_in_which_he_was_born_stood_next_to_the_Serbian_Orthodox_Church_presided_over_by_his_father,_the_Reverend_Milutin_Tesla,_who_sometimes_wrote_articles_under_the_nom-de-plume_'Man_of_Justice'""_16-0"
Cheney 2011,#CITEREFCheney2011
^,"#cite_ref-FOOTNOTECarlson201314""Following_a_reprimand_at_school_for_not_keeping_his_brass_buttons_polished,_he_quit_and_instead_chose_to_become_a_priest_in_the_Serbian_Orthodox_Church""_17-0"
^,"#cite_ref-FOOTNOTEBurgan200917""Nikola's_father,_Milutin_was_a_Serbian_Orthodox_priest_and_had_been_sent_to_Smiljan_by_his_church.""_18-0"
^,#cite_ref-FOOTNOTEO'Neill194410_19-0
O'Neill 1944,#CITEREFO'Neill1944
^,#cite_ref-FOOTNOTECheney2001_20-0
Cheney 2001,#CITEREFCheney2001
a,#cite_ref-FOOTNOTESeifer20017_21-0
b,#cite_ref-FOOTNOTESeifer20017_21-1
Seifer 2001,#CITEREFSeifer2001
^,#cite_ref-FOOTNOTEO'Neill194412_22-0
^,#cite_ref-FOOTNOTECarlson201321_23-0
a,#cite_ref-tesla1_24-0
b,#cite_ref-tesla1_24-1
c,#cite_ref-tesla1_24-2
d,#cite_ref-tesla1_24-3
e,#cite_ref-tesla1_24-4
f,#cite_ref-tesla1_24-5
g,#cite_ref-tesla1_24-6
978-1-61427-084-3,/wiki/Special:BookSources/978-1-61427-084-3
^,#cite_ref-25
